agent_id,agent_name,shift_id,day,start_slot,span_slots,paid_hours,coverage_slots,break_slots,is_night
13,AGT-014,Sat_FT8_0000,5,0,34,8.0,30,4,True
14,AGT-015,Mon_FT8_1130,0,46,34,8.0,30,4,False
14,AGT-015,Tue_FT8_0830,1,34,34,8.0,30,4,False
14,AGT-015,Wed_FT8_0400,2,16,34,8.0,30,4,True
14,AGT-015,Thu_FT8_0630,3,26,34,8.0,30,4,False
14,AGT-015,Fri_FT8_2000,4,80,34,8.0,30,4,False
15,AGT-016,Tue_FT8_0930,1,38,34,8.0,30,4,False
15,AGT-016,Wed_FT8_0800,2,32,34,8.0,30,4,False
15,AGT-016,Fri_FT8_0900,4,36,34,8.0,30,4,False
15,AGT-016,Sat_FT8_1000,5,40,34,8.0,30,4,False
15,AGT-016,Sun_FT8_1900,6,76,34,8.0,30,4,False
16,AGT-017,Mon_FT8_1200,0,48,34,8.0,30,4,False
16,AGT-017,Tue_FT8_1100,1,44,34,8.0,30,4,False
16,AGT-017,Wed_FT8_1400,2,56,34,8.0,30,4,False
16,AGT-017,Sat_FT8_0900,5,36,34,8.0,30,4,False
16,AGT-017,Sun_FT8_1230,6,50,34,8.0,30,4,False
17,AGT-018,Mon_FT8_1100,0,44,34,8.0,30,4,False
17,AGT-018,Tue_FT8_1400,1,56,34,8.0,30,4,False
17,AGT-018,Wed_FT8_0830,2,34,34,8.0,30,4,False
17,AGT-018,Thu_FT8_0930,3,38,34,8.0,30,4,False
17,AGT-018,Sat_FT8_0730,5,30,34,8.0,30,4,False
18,AGT-019,Mon_FT8_1400,0,56,34,8.0,30,4,False
18,AGT-019,Tue_FT8_2000,1,80,34,8.0,30,4,False
18,AGT-019,Wed_FT8_2100,2,84,34,8.0,30,4,False
18,AGT-019,Fri_FT8_1500,4,60,34,8.0,30,4,False
18,AGT-019,Sun_FT8_1030,6,42,34,8.0,30,4,False
19,AGT-020,Mon_FT8_0600,0,24,34,8.0,30,4,False
19,AGT-020,Tue_FT8_0100,1,4,34,8.0,30,4,True
19,AGT-020,Wed_FT8_1030,2,42,34,8.0,30,4,False
19,AGT-020,Thu_FT8_2300,3,92,34,8.0,30,4,True
19,AGT-020,Fri_FT8_2300,4,92,34,8.0,30,4,True
20,AGT-021,Tue_FT8_0730,1,30,34,8.0,30,4,False
20,AGT-021,Wed_FT8_0900,2,36,34,8.0,30,4,False
20,AGT-021,Thu_FT8_0930,3,38,34,8.0,30,4,False
20,AGT-021,Fri_FT8_0800,4,32,34,8.0,30,4,False
20,AGT-021,Sat_FT8_0930,5,38,34,8.0,30,4,False
21,AGT-022,Mon_FT8_0500,0,20,34,8.0,30,4,True
21,AGT-022,Wed_FT8_1030,2,42,34,8.0,30,4,False
21,AGT-022,Thu_FT8_1030,3,42,34,8.0,30,4,False
21,AGT-022,Fri_FT8_1600,4,64,34,8.0,30,4,False
21,AGT-022,Sat_FT8_1630,5,66,34,8.0,30,4,False
22,AGT-023,Tue_FT8_0600,1,24,34,8.0,30,4,False
22,AGT-023,Wed_FT8_1100,2,44,34,8.0,30,4,False
22,AGT-023,Thu_FT8_1000,3,40,34,8.0,30,4,False
22,AGT-023,Fri_FT8_1230,4,50,34,8.0,30,4,False
22,AGT-023,Sun_FT8_2200,6,88,34,8.0,30,4,True
23,AGT-024,Mon_FT8_1300,0,52,34,8.0,30,4,False
23,AGT-024,Tue_FT8_0730,1,30,34,8.0,30,4,False
23,AGT-024,Wed_FT8_0500,2,20,34,8.0,30,4,True
23,AGT-024,Fri_FT8_0830,4,34,34,8.0,30,4,False
23,AGT-024,Sat_FT8_0900,5,36,34,8.0,30,4,False
24,AGT-025,Mon_FT8_1000,0,40,34,8.0,30,4,False
24,AGT-025,Tue_FT8_0730,1,30,34,8.0,30,4,False
24,AGT-025,Thu_FT8_0100,3,4,34,8.0,30,4,True
24,AGT-025,Fri_FT8_1000,4,40,34,8.0,30,4,False
24,AGT-025,Sun_FT8_0900,6,36,34,8.0,30,4,False
25,AGT-026,Mon_FT8_2200,0,88,34,8.0,30,4,True
25,AGT-026,Wed_FT8_0200,2,8,34,8.0,30,4,True
25,AGT-026,Thu_FT8_2000,3,80,34,8.0,30,4,False
25,AGT-026,Sat_FT8_0700,5,28,34,8.0,30,4,False
25,AGT-026,Sun_FT8_0300,6,12,34,8.0,30,4,True
26,AGT-027,Mon_FT8_0830,0,34,34,8.0,30,4,False
26,AGT-027,Wed_FT8_0830,2,34,34,8.0,30,4,False
26,AGT-027,Thu_FT8_1900,3,76,34,8.0,30,4,False
26,AGT-027,Fri_FT8_1930,4,78,34,8.0,30,4,False
26,AGT-027,Sun_FT8_1400,6,56,34,8.0,30,4,False
27,AGT-028,Mon_FT8_1900,0,76,34,8.0,30,4,False
27,AGT-028,Thu_FT8_1330,3,54,34,8.0,30,4,False
27,AGT-028,Fri_FT8_0900,4,36,34,8.0,30,4,False
27,AGT-028,Sat_FT8_0500,5,20,34,8.0,30,4,True
27,AGT-028,Sun_FT8_1330,6,54,34,8.0,30,4,False
28,AGT-029,Tue_FT8_0900,1,36,34,8.0,30,4,False
28,AGT-029,Thu_FT8_0900,3,36,34,8.0,30,4,False
28,AGT-029,Fri_FT8_0400,4,16,34,8.0,30,4,True
28,AGT-029,Sat_FT8_0830,5,34,34,8.0,30,4,False
28,AGT-029,Sun_FT8_1200,6,48,34,8.0,30,4,False
29,AGT-030,Mon_FT8_1300,0,52,34,8.0,30,4,False
29,AGT-030,Wed_FT8_0730,2,30,34,8.0,30,4,False
29,AGT-030,Fri_FT8_0000,4,0,34,8.0,30,4,True
29,AGT-030,Sun_FT8_0700,6,28,34,8.0,30,4,False
30,AGT-031,Mon_FT8_1230,0,50,34,8.0,30,4,False
30,AGT-031,Wed_FT8_0800,2,32,34,8.0,30,4,False
30,AGT-031,Fri_FT8_0930,4,38,34,8.0,30,4,False
30,AGT-031,Sat_FT8_0730,5,30,34,8.0,30,4,False
30,AGT-031,Sun_FT8_0500,6,20,34,8.0,30,4,True
31,AGT-032,Mon_FT8_0100,0,4,34,8.0,30,4,True
31,AGT-032,Tue_FT8_0900,1,36,34,8.0,30,4,False
31,AGT-032,Wed_FT8_0800,2,32,34,8.0,30,4,False
31,AGT-032,Thu_FT8_1200,3,48,34,8.0,30,4,False
31,AGT-032,Fri_FT8_0930,4,38,34,8.0,30,4,False
32,AGT-033,Mon_FT8_0730,0,30,34,8.0,30,4,False
32,AGT-033,Thu_FT8_0900,3,36,34,8.0,30,4,False
32,AGT-033,Sat_FT8_1130,5,46,34,8.0,30,4,False
32,AGT-033,Sun_FT8_1130,6,46,34,8.0,30,4,False
33,AGT-034,Mon_FT8_1100,0,44,34,8.0,30,4,False
33,AGT-034,Tue_FT8_0600,1,24,34,8.0,30,4,False
33,AGT-034,Wed_FT8_0500,2,20,34,8.0,30,4,True
33,AGT-034,Thu_FT8_1030,3,42,34,8.0,30,4,False
33,AGT-034,Fri_FT8_0730,4,30,34,8.0,30,4,False
34,AGT-035,Mon_FT8_1030,0,42,34,8.0,30,4,False
34,AGT-035,Tue_FT8_0500,1,20,34,8.0,30,4,True
34,AGT-035,Wed_FT8_0100,2,4,34,8.0,30,4,True
34,AGT-035,Thu_FT8_0830,3,34,34,8.0,30,4,False
34,AGT-035,Sat_FT8_0600,5,24,34,8.0,30,4,False
35,AGT-036,Mon_FT8_0900,0,36,34,8.0,30,4,False
35,AGT-036,Tue_FT8_1100,1,44,34,8.0,30,4,False
35,AGT-036,Thu_FT8_0900,3,36,34,8.0,30,4,False
35,AGT-036,Fri_FT8_0400,4,16,34,8.0,30,4,True
35,AGT-036,Sun_FT8_0830,6,34,34,8.0,30,4,False
36,AGT-037,Mon_FT8_2300,0,92,34,8.0,30,4,True
36,AGT-037,Tue_FT8_1900,1,76,34,8.0,30,4,False
36,AGT-037,Wed_FT8_2000,2,80,34,8.0,30,4,False
36,AGT-037,Fri_FT8_0730,4,30,34,8.0,30,4,False
36,AGT-037,Sat_FT8_1030,5,42,34,8.0,30,4,False
37,AGT-038,Mon_FT8_1000,0,40,34,8.0,30,4,False
37,AGT-038,Tue_FT8_2000,1,80,34,8.0,30,4,False
37,AGT-038,Wed_FT8_1600,2,64,34,8.0,30,4,False
37,AGT-038,Thu_FT8_1330,3,54,34,8.0,30,4,False
37,AGT-038,Sun_FT8_1130,6,46,34,8.0,30,4,False
38,AGT-039,Mon_FT8_0930,0,38,34,8.0,30,4,False
38,AGT-039,Tue_FT8_0800,1,32,34,8.0,30,4,False
38,AGT-039,Thu_FT8_1000,3,40,34,8.0,30,4,False
38,AGT-039,Fri_FT8_1030,4,42,34,8.0,30,4,False
38,AGT-039,Sun_FT8_0200,6,8,34,8.0,30,4,True
39,AGT-040,Mon_FT8_1000,0,40,34,8.0,30,4,False
39,AGT-040,Tue_FT8_0730,1,30,34,8.0,30,4,False
39,AGT-040,Thu_FT8_1030,3,42,34,8.0,30,4,False
39,AGT-040,Fri_FT8_1200,4,48,34,8.0,30,4,False
39,AGT-040,Sun_FT8_0100,6,4,34,8.0,30,4,True
40,AGT-041,Tue_FT8_0300,1,12,34,8.0,30,4,True
40,AGT-041,Wed_FT8_0000,2,0,34,8.0,30,4,True
40,AGT-041,Thu_FT8_1230,3,50,34,8.0,30,4,False
40,AGT-041,Sat_FT8_1830,5,74,34,8.0,30,4,False
40,AGT-041,Sun_FT8_1600,6,64,34,8.0,30,4,False
41,AGT-042,Mon_FT8_0400,0,16,34,8.0,30,4,True
41,AGT-042,Tue_FT8_1700,1,68,34,8.0,30,4,False
41,AGT-042,Thu_FT8_1030,3,42,34,8.0,30,4,False
41,AGT-042,Fri_FT8_0800,4,32,34,8.0,30,4,False
41,AGT-042,Sat_FT8_1700,5,68,34,8.0,30,4,False
42,AGT-043,Mon_FT8_0800,0,32,34,8.0,30,4,False
42,AGT-043,Tue_FT8_0830,1,34,34,8.0,30,4,False
42,AGT-043,Wed_FT8_0900,2,36,34,8.0,30,4,False
42,AGT-043,Thu_FT8_1000,3,40,34,8.0,30,4,False
42,AGT-043,Fri_FT8_0600,4,24,34,8.0,30,4,False
43,AGT-044,Mon_FT8_1030,0,42,34,8.0,30,4,False
43,AGT-044,Wed_FT8_1000,2,40,34,8.0,30,4,False
43,AGT-044,Thu_FT8_1430,3,58,34,8.0,30,4,False
43,AGT-044,Sat_FT8_0930,5,38,34,8.0,30,4,False
43,AGT-044,Sun_FT8_0930,6,38,34,8.0,30,4,False
44,AGT-045,Tue_FT8_1030,1,42,34,8.0,30,4,False
44,AGT-045,Wed_FT8_0700,2,28,34,8.0,30,4,False
44,AGT-045,Fri_FT8_1200,4,48,34,8.0,30,4,False
44,AGT-045,Sat_FT8_0900,5,36,34,8.0,30,4,False
44,AGT-045,Sun_FT8_0830,6,34,34,8.0,30,4,False
45,AGT-046,Mon_FT8_0900,0,36,34,8.0,30,4,False
45,AGT-046,Tue_FT8_1100,1,44,34,8.0,30,4,False
45,AGT-046,Wed_FT8_0630,2,26,34,8.0,30,4,False
45,AGT-046,Fri_FT8_0100,4,4,34,8.0,30,4,True
45,AGT-046,Sat_FT8_1300,5,52,34,8.0,30,4,False
46,AGT-047,Mon_FT8_0930,0,38,34,8.0,30,4,False
46,AGT-047,Tue_FT8_0400,1,16,34,8.0,30,4,True
46,AGT-047,Wed_FT8_2100,2,84,34,8.0,30,4,False
46,AGT-047,Thu_FT8_1600,3,64,34,8.0,30,4,False
46,AGT-047,Fri_FT8_1900,4,76,34,8.0,30,4,False
47,AGT-048,Tue_FT8_1200,1,48,34,8.0,30,4,False
47,AGT-048,Wed_FT8_1700,2,68,34,8.0,30,4,False
47,AGT-048,Thu_FT8_1130,3,46,34,8.0,30,4,False
47,AGT-048,Fri_FT8_1100,4,44,34,8.0,30,4,False
47,AGT-048,Sun_FT8_2000,6,80,34,8.0,30,4,False
48,AGT-049,Mon_FT8_0300,0,12,34,8.0,30,4,True
48,AGT-049,Wed_FT8_0730,2,30,34,8.0,30,4,False
48,AGT-049,Thu_FT8_0600,3,24,34,8.0,30,4,False
48,AGT-049,Fri_FT8_1500,4,60,34,8.0,30,4,False
48,AGT-049,Sat_FT8_1600,5,64,34,8.0,30,4,False
49,AGT-050,Mon_PT4_1030,0,42,16,4.0,15,1,False
49,AGT-050,Tue_PT4_1700,1,68,16,4.0,15,1,False
49,AGT-050,Wed_PT4_1800,2,72,16,4.0,15,1,False
49,AGT-050,Fri_PT4_1700,4,68,16,4.0,15,1,False
49,AGT-050,Sat_PT4_0800,5,32,16,4.0,15,1,False
49,AGT-050,Sun_PT4_1700,6,68,16,4.0,15,1,False
50,AGT-051,Mon_PT4_0900,0,36,16,4.0,15,1,False
50,AGT-051,Tue_PT4_0800,1,32,16,4.0,15,1,False
50,AGT-051,Thu_PT4_0830,3,34,16,4.0,15,1,False
50,AGT-051,Fri_PT4_1000,4,40,16,4.0,15,1,False
50,AGT-051,Sat_PT4_1700,5,68,16,4.0,15,1,False
50,AGT-051,Sun_PT4_0800,6,32,16,4.0,15,1,False
51,AGT-052,Mon_PT4_0730,0,30,16,4.0,15,1,False
51,AGT-052,Tue_PT4_1000,1,40,16,4.0,15,1,False
51,AGT-052,Wed_PT4_1700,2,68,16,4.0,15,1,False
51,AGT-052,Thu_PT4_0800,3,32,16,4.0,15,1,False
51,AGT-052,Fri_PT4_0730,4,30,16,4.0,15,1,False
51,AGT-052,Sat_PT4_0800,5,32,16,4.0,15,1,False
52,AGT-053,Mon_PT4_0700,0,28,16,4.0,15,1,False
52,AGT-053,Tue_PT4_1530,1,62,16,4.0,15,1,False
52,AGT-053,Wed_PT4_0830,2,34,16,4.0,15,1,False
52,AGT-053,Fri_PT4_0900,4,36,16,4.0,15,1,False
52,AGT-053,Sat_PT6_2100,5,84,26,6.0,22,4,False
53,AGT-054,Mon_PT4_0700,0,28,16,4.0,15,1,False
53,AGT-054,Tue_PT4_1630,1,66,16,4.0,15,1,False
53,AGT-054,Wed_PT4_1030,2,42,16,4.0,15,1,False
53,AGT-054,Thu_PT4_1700,3,68,16,4.0,15,1,False
53,AGT-054,Fri_PT4_0800,4,32,16,4.0,15,1,False
53,AGT-054,Sat_PT4_0800,5,32,16,4.0,15,1,False
54,AGT-055,Mon_PT4_1030,0,42,16,4.0,15,1,False
54,AGT-055,Tue_PT4_1530,1,62,16,4.0,15,1,False
54,AGT-055,Wed_PT4_1630,2,66,16,4.0,15,1,False
54,AGT-055,Thu_PT4_0630,3,26,16,4.0,15,1,False
54,AGT-055,Fri_PT4_1800,4,72,16,4.0,15,1,False
54,AGT-055,Sun_PT4_0630,6,26,16,4.0,15,1,False
55,AGT-056,Mon_PT4_0700,0,28,16,4.0,15,1,False
55,AGT-056,Wed_PT4_0700,2,28,16,4.0,15,1,False
55,AGT-056,Thu_PT4_1700,3,68,16,4.0,15,1,False
55,AGT-056,Fri_PT4_1600,4,64,16,4.0,15,1,False
55,AGT-056,Sat_PT4_1730,5,70,16,4.0,15,1,False
55,AGT-056,Sun_PT4_1000,6,40,16,4.0,15,1,False
56,AGT-057,Mon_PT4_1700,0,68,16,4.0,15,1,False
56,AGT-057,Wed_PT4_1800,2,72,16,4.0,15,1,False
56,AGT-057,Thu_PT4_0800,3,32,16,4.0,15,1,False
56,AGT-057,Fri_PT4_0830,4,34,16,4.0,15,1,False
56,AGT-057,Sat_PT4_0900,5,36,16,4.0,15,1,False
56,AGT-057,Sun_PT4_0730,6,30,16,4.0,15,1,False
57,AGT-058,Mon_PT4_1830,0,74,16,4.0,15,1,False
57,AGT-058,Tue_PT4_1800,1,72,16,4.0,15,1,False
57,AGT-058,Wed_PT4_1630,2,66,16,4.0,15,1,False
57,AGT-058,Thu_PT4_0700,3,28,16,4.0,15,1,False
57,AGT-058,Fri_PT4_1000,4,40,16,4.0,15,1,False
57,AGT-058,Sun_PT4_0800,6,32,16,4.0,15,1,False
58,AGT-059,Mon_PT4_1930,0,78,16,4.0,15,1,False
58,AGT-059,Wed_PT4_0900,2,36,16,4.0,15,1,False
58,AGT-059,Thu_PT4_0830,3,34,16,4.0,15,1,False
58,AGT-059,Fri_PT4_1630,4,66,16,4.0,15,1,False
58,AGT-059,Sat_PT4_0730,5,30,16,4.0,15,1,False
58,AGT-059,Sun_PT4_1030,6,42,16,4.0,15,1,False
59,AGT-060,Mon_PT4_0830,0,34,16,4.0,15,1,False
59,AGT-060,Wed_PT4_0900,2,36,16,4.0,15,1,False
59,AGT-060,Thu_PT4_1830,3,74,16,4.0,15,1,False
59,AGT-060,Fri_PT4_0930,4,38,16,4.0,15,1,False
59,AGT-060,Sat_PT4_1030,5,42,16,4.0,15,1,False
59,AGT-060,Sun_PT4_0830,6,34,16,4.0,15,1,False
60,AGT-061,Mon_PT4_0930,0,38,16,4.0,15,1,False
60,AGT-061,Tue_PT4_1730,1,70,16,4.0,15,1,False
60,AGT-061,Wed_PT4_0800,2,32,16,4.0,15,1,False
60,AGT-061,Thu_PT4_0930,3,38,16,4.0,15,1,False
60,AGT-061,Fri_PT4_0900,4,36,16,4.0,15,1,False
60,AGT-061,Sun_PT4_1000,6,40,16,4.0,15,1,False
61,AGT-062,Mon_PT4_0900,0,36,16,4.0,15,1,False
61,AGT-062,Tue_PT4_1700,1,68,16,4.0,15,1,False
61,AGT-062,Wed_PT4_0930,2,38,16,4.0,15,1,False
61,AGT-062,Thu_PT4_0800,3,32,16,4.0,15,1,False
61,AGT-062,Fri_PT4_0700,4,28,16,4.0,15,1,False
61,AGT-062,Sat_PT4_1930,5,78,16,4.0,15,1,False
62,AGT-063,Mon_PT4_1600,0,64,16,4.0,15,1,False
62,AGT-063,Tue_PT4_0900,1,36,16,4.0,15,1,False
62,AGT-063,Wed_PT4_1000,2,40,16,4.0,15,1,False
62,AGT-063,Fri_PT4_0700,4,28,16,4.0,15,1,False
62,AGT-063,Sat_PT4_1700,5,68,16,4.0,15,1,False
62,AGT-063,Sun_PT4_1000,6,40,16,4.0,15,1,False
63,AGT-064,Mon_PT4_1830,0,74,16,4.0,15,1,False
63,AGT-064,Tue_PT4_1700,1,68,16,4.0,15,1,False
63,AGT-064,Wed_PT4_1730,2,70,16,4.0,15,1,False
63,AGT-064,Fri_PT4_0800,4,32,16,4.0,15,1,False
63,AGT-064,Sat_PT4_0930,5,38,16,4.0,15,1,False
63,AGT-064,Sun_PT4_1530,6,62,16,4.0,15,1,False
64,AGT-065,Mon_PT4_0800,0,32,16,4.0,15,1,False
64,AGT-065,Tue_PT4_0830,1,34,16,4.0,15,1,False
64,AGT-065,Wed_PT4_1730,2,70,16,4.0,15,1,False
64,AGT-065,Thu_PT4_0800,3,32,16,4.0,15,1,False
64,AGT-065,Sat_PT4_0630,5,26,16,4.0,15,1,False
