day,day_name,interval,week_interval,time,calls,aht_sec,required_agents,min_presence_floor,binding_constraint,profile,scheduled_active,net_slack,demand_shortfall,floor_shortfall,meets_requirement,floor_breach
0,Mon,21,21,05:15,3.0,320.5,4,4,floor,24/7 standard intake,6,2,0,0,True,False
0,Mon,22,22,05:30,6.0,355.2,5,4,queueing,24/7 standard intake,7,2,0,0,True,False
0,Mon,23,23,05:45,6.0,314.7,5,4,queueing,24/7 standard intake,7,2,0,0,True,False
0,Mon,24,24,06:00,7.0,297.5,5,4,queueing,24/7 standard intake,6,1,0,0,True,False
0,Mon,25,25,06:15,8.0,323.9,6,4,queueing,24/7 standard intake,8,2,0,0,True,False
0,Mon,26,26,06:30,12.0,324.8,7,4,queueing,24/7 standard intake,7,0,0,0,True,False
0,Mon,27,27,06:45,14.0,349.9,9,4,queueing,24/7 standard intake,7,-2,2,0,False,False
0,Mon,28,28,07:00,17.0,338.4,10,4,queueing,24/7 standard intake,8,-2,2,0,False,False
0,Mon,29,29,07:15,20.0,327.9,11,4,queueing,24/7 standard intake,9,-2,2,0,False,False
0,Mon,30,30,07:30,26.0,352.2,14,4,queueing,24/7 standard intake,13,-1,1,0,False,False
0,Mon,31,31,07:45,26.0,293.8,12,4,queueing,24/7 standard intake,14,2,0,0,True,False
0,Mon,32,32,08:00,31.0,305.9,14,4,queueing,24/7 standard intake,14,0,0,0,True,False
0,Mon,33,33,08:15,35.0,299.6,15,4,queueing,24/7 standard intake,15,0,0,0,True,False
0,Mon,34,34,08:30,41.0,311.4,18,4,queueing,24/7 standard intake,19,1,0,0,True,False
0,Mon,35,35,08:45,46.0,289.7,18,4,queueing,24/7 standard intake,19,1,0,0,True,False
0,Mon,36,36,09:00,49.0,334.0,22,4,queueing,24/7 standard intake,19,-3,3,0,False,False
0,Mon,37,37,09:15,53.0,315.1,22,4,queueing,24/7 standard intake,23,1,0,0,True,False
0,Mon,38,38,09:30,57.0,287.6,22,4,queueing,24/7 standard intake,21,-1,1,0,False,False
0,Mon,39,39,09:45,62.0,297.7,24,4,queueing,24/7 standard intake,26,2,0,0,True,False
0,Mon,40,40,10:00,65.0,326.9,27,4,queueing,24/7 standard intake,26,-1,1,0,False,False
0,Mon,41,41,10:15,67.0,338.4,29,4,queueing,24/7 standard intake,29,0,0,0,True,False
0,Mon,42,42,10:30,68.0,363.9,31,4,queueing,24/7 standard intake,30,-1,1,0,False,False
0,Mon,43,43,10:45,70.0,384.1,34,4,queueing,24/7 standard intake,34,0,0,0,True,False
0,Mon,44,44,11:00,70.0,329.1,29,4,queueing,24/7 standard intake,27,-2,2,0,False,False
0,Mon,45,45,11:15,70.0,298.2,27,4,queueing,24/7 standard intake,32,5,0,0,True,False
0,Mon,46,46,11:30,70.0,273.1,25,4,queueing,24/7 standard intake,25,0,0,0,True,False
0,Mon,47,47,11:45,69.0,325.9,29,4,queueing,24/7 standard intake,29,0,0,0,True,False
0,Mon,48,48,12:00,68.0,302.1,26,4,queueing,24/7 standard intake,25,-1,1,0,False,False
0,Mon,49,49,12:15,66.0,310.9,26,4,queueing,24/7 standard intake,29,3,0,0,True,False
0,Mon,50,50,12:30,64.0,306.5,25,4,queueing,24/7 standard intake,23,-2,2,0,False,False
0,Mon,51,51,12:45,63.0,316.9,26,4,queueing,24/7 standard intake,28,2,0,0,True,False
0,Mon,52,52,13:00,60.0,343.5,27,4,queueing,24/7 standard intake,24,-3,3,0,False,False
0,Mon,53,53,13:15,60.0,323.5,25,4,queueing,24/7 standard intake,26,1,0,0,True,False
0,Mon,54,54,13:30,58.0,316.5,24,4,queueing,24/7 standard intake,24,0,0,0,True,False
0,Mon,55,55,13:45,57.0,297.2,22,4,queueing,24/7 standard intake,26,4,0,0,True,False
0,Mon,56,56,14:00,57.0,283.2,22,4,queueing,24/7 standard intake,22,0,0,0,True,False
0,Mon,57,57,14:15,59.0,309.3,24,4,queueing,24/7 standard intake,25,1,0,0,True,False
0,Mon,58,58,14:30,55.0,318.8,23,4,queueing,24/7 standard intake,21,-2,2,0,False,False
0,Mon,59,59,14:45,57.0,358.9,27,4,queueing,24/7 standard intake,24,-3,3,0,False,False
0,Mon,60,60,15:00,53.0,322.9,23,4,queueing,24/7 standard intake,21,-2,2,0,False,False
0,Mon,61,61,15:15,54.0,341.6,24,4,queueing,24/7 standard intake,24,0,0,0,True,False
0,Mon,62,62,15:30,54.0,309.0,22,4,queueing,24/7 standard intake,20,-2,2,0,False,False
0,Mon,63,63,15:45,54.0,293.9,21,4,queueing,24/7 standard intake,24,3,0,0,True,False
0,Mon,64,64,16:00,53.0,298.8,21,4,queueing,24/7 standard intake,20,-1,1,0,False,False
0,Mon,65,65,16:15,52.0,304.0,21,4,queueing,24/7 standard intake,23,2,0,0,True,False
0,Mon,66,66,16:30,49.0,366.8,24,4,queueing,24/7 standard intake,17,-7,7,0,False,False
0,Mon,67,67,16:45,47.0,301.9,19,4,queueing,24/7 standard intake,21,2,0,0,True,False
0,Mon,68,68,17:00,47.0,338.4,21,4,queueing,24/7 standard intake,18,-3,3,0,False,False
0,Mon,69,69,17:15,44.0,300.1,18,4,queueing,24/7 standard intake,20,2,0,0,True,False
0,Mon,70,70,17:30,41.0,340.5,19,4,queueing,24/7 standard intake,16,-3,3,0,False,False
0,Mon,71,71,17:45,39.0,328.5,18,4,queueing,24/7 standard intake,18,0,0,0,True,False
0,Mon,72,72,18:00,37.0,316.6,17,4,queueing,24/7 standard intake,15,-2,2,0,False,False
0,Mon,73,73,18:15,37.0,319.1,17,4,queueing,24/7 standard intake,17,0,0,0,True,False
0,Mon,74,74,18:30,35.0,305.6,15,4,queueing,24/7 standard intake,15,0,0,0,True,False
0,Mon,75,75,18:45,34.0,329.8,16,4,queueing,24/7 standard intake,16,0,0,0,True,False
0,Mon,76,76,19:00,31.0,310.0,14,4,queueing,24/7 standard intake,14,0,0,0,True,False
0,Mon,77,77,19:15,30.0,293.0,13,4,queueing,24/7 standard intake,16,3,0,0,True,False
0,Mon,78,78,19:30,28.0,291.9,13,4,queueing,24/7 standard intake,13,0,0,0,True,False
0,Mon,79,79,19:45,25.0,323.8,13,4,queueing,24/7 standard intake,15,2,0,0,True,False
0,Mon,80,80,20:00,24.0,354.7,13,4,queueing,24/7 standard intake,11,-2,2,0,False,False
0,Mon,81,81,20:15,21.0,323.5,11,4,queueing,24/7 standard intake,13,2,0,0,True,False
0,Mon,82,82,20:30,20.0,317.4,10,4,queueing,24/7 standard intake,9,-1,1,0,False,False
0,Mon,83,83,20:45,18.0,326.3,10,4,queueing,24/7 standard intake,12,2,0,0,True,False
0,Mon,84,84,21:00,15.0,348.7,9,4,queueing,24/7 standard intake,8,-1,1,0,False,False
0,Mon,85,85,21:15,15.0,324.8,9,4,queueing,24/7 standard intake,10,1,0,0,True,False
0,Mon,86,86,21:30,12.0,311.0,7,4,queueing,24/7 standard intake,7,0,0,0,True,False
0,Mon,87,87,21:45,11.0,344.3,7,4,queueing,24/7 standard intake,8,1,0,0,True,False
0,Mon,88,88,22:00,10.0,329.4,7,4,queueing,24/7 standard intake,7,0,0,0,True,False
0,Mon,89,89,22:15,9.0,353.8,7,4,queueing,24/7 standard intake,7,0,0,0,True,False
0,Mon,90,90,22:30,8.0,324.0,6,4,queueing,24/7 standard intake,5,-1,1,0,False,False
0,Mon,91,91,22:45,6.0,293.1,5,4,queueing,24/7 standard intake,5,0,0,0,True,False
0,Mon,92,92,23:00,4.0,289.9,4,4,queueing,24/7 standard intake,4,0,0,0,True,False
0,Mon,93,93,23:15,4.0,356.3,4,4,queueing,24/7 standard intake,4,0,0,0,True,False
0,Mon,94,94,23:30,1.0,357.9,4,4,floor,24/7 standard intake,5,1,0,0,True,False
0,Mon,95,95,23:45,1.0,316.1,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,0,96,00:00,1.0,313.6,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,1,97,00:15,3.0,317.7,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,2,98,00:30,-0.0,314.5,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,3,99,00:45,-0.0,323.4,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,4,100,01:00,2.0,352.4,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,5,101,01:15,1.0,263.5,4,4,floor,24/7 standard intake,6,2,0,0,True,False
1,Tue,6,102,01:30,1.0,314.8,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,7,103,01:45,1.0,323.9,4,4,floor,24/7 standard intake,6,2,0,0,True,False
1,Tue,8,104,02:00,1.0,326.5,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,9,105,02:15,3.0,311.8,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,10,106,02:30,1.0,281.4,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,11,107,02:45,2.0,327.2,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,12,108,03:00,0.0,358.0,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,13,109,03:15,1.0,286.3,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,14,110,03:30,0.0,339.0,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,15,111,03:45,-0.0,312.8,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,16,112,04:00,0.0,318.7,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,17,113,04:15,1.0,296.8,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,18,114,04:30,3.0,312.6,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,19,115,04:45,1.0,348.6,4,4,floor,24/7 standard intake,5,1,0,0,True,False
1,Tue,20,116,05:00,3.0,332.8,4,4,queueing,24/7 standard intake,4,0,0,0,True,False
1,Tue,21,117,05:15,3.0,358.1,4,4,queueing,24/7 standard intake,5,1,0,0,True,False
1,Tue,22,118,05:30,4.0,345.9,4,4,queueing,24/7 standard intake,5,1,0,0,True,False
1,Tue,23,119,05:45,7.0,329.7,5,4,queueing,24/7 standard intake,6,1,0,0,True,False
1,Tue,24,120,06:00,8.0,358.4,6,4,queueing,24/7 standard intake,7,1,0,0,True,False
1,Tue,25,121,06:15,10.0,329.7,7,4,queueing,24/7 standard intake,8,1,0,0,True,False
1,Tue,26,122,06:30,10.0,338.2,7,4,queueing,24/7 standard intake,7,0,0,0,True,False
1,Tue,27,123,06:45,12.0,313.5,7,4,queueing,24/7 standard intake,7,0,0,0,True,False
1,Tue,28,124,07:00,15.0,321.5,9,4,queueing,24/7 standard intake,8,-1,1,0,False,False
1,Tue,29,125,07:15,19.0,304.7,10,4,queueing,24/7 standard intake,9,-1,1,0,False,False
1,Tue,30,126,07:30,22.0,341.8,12,4,queueing,24/7 standard intake,12,0,0,0,True,False
1,Tue,31,127,07:45,25.0,294.1,12,4,queueing,24/7 standard intake,13,1,0,0,True,False
1,Tue,32,128,08:00,30.0,337.2,15,4,queueing,24/7 standard intake,15,0,0,0,True,False
1,Tue,33,129,08:15,35.0,315.8,16,4,queueing,24/7 standard intake,17,1,0,0,True,False
1,Tue,34,130,08:30,42.0,345.8,20,4,queueing,24/7 standard intake,21,1,0,0,True,False
1,Tue,35,131,08:45,45.0,336.5,21,4,queueing,24/7 standard intake,21,0,0,0,True,False
1,Tue,36,132,09:00,46.0,360.1,22,4,queueing,24/7 standard intake,21,-1,1,0,False,False
1,Tue,37,133,09:15,51.0,336.1,23,4,queueing,24/7 standard intake,24,1,0,0,True,False
1,Tue,38,134,09:30,54.0,285.4,21,4,queueing,24/7 standard intake,20,-1,1,0,False,False
1,Tue,39,135,09:45,58.0,318.5,24,4,queueing,24/7 standard intake,25,1,0,0,True,False
1,Tue,40,136,10:00,62.0,294.2,24,4,queueing,24/7 standard intake,21,-3,3,0,False,False
1,Tue,41,137,10:15,65.0,308.6,26,4,queueing,24/7 standard intake,26,0,0,0,True,False
1,Tue,42,138,10:30,65.0,353.2,29,4,queueing,24/7 standard intake,25,-4,4,0,False,False
1,Tue,43,139,10:45,66.0,334.0,28,4,queueing,24/7 standard intake,29,1,0,0,True,False
1,Tue,44,140,11:00,65.0,304.6,26,4,queueing,24/7 standard intake,25,-1,1,0,False,False
1,Tue,45,141,11:15,67.0,297.7,26,4,queueing,24/7 standard intake,29,3,0,0,True,False
1,Tue,46,142,11:30,65.0,320.7,27,4,queueing,24/7 standard intake,25,-2,2,0,False,False
1,Tue,47,143,11:45,65.0,293.2,25,4,queueing,24/7 standard intake,27,2,0,0,True,False
1,Tue,48,144,12:00,63.0,305.2,25,4,queueing,24/7 standard intake,24,-1,1,0,False,False
1,Tue,49,145,12:15,63.0,326.9,27,4,queueing,24/7 standard intake,27,0,0,0,True,False
1,Tue,50,146,12:30,59.0,345.4,26,4,queueing,24/7 standard intake,24,-2,2,0,False,False
1,Tue,51,147,12:45,58.0,333.4,25,4,queueing,24/7 standard intake,27,2,0,0,True,False
1,Tue,52,148,13:00,61.0,269.6,22,4,queueing,24/7 standard intake,22,0,0,0,True,False
1,Tue,53,149,13:15,56.0,326.7,24,4,queueing,24/7 standard intake,25,1,0,0,True,False
1,Tue,54,150,13:30,55.0,321.6,23,4,queueing,24/7 standard intake,23,0,0,0,True,False
1,Tue,55,151,13:45,58.0,329.1,25,4,queueing,24/7 standard intake,26,1,0,0,True,False
1,Tue,56,152,14:00,59.0,355.6,27,4,queueing,24/7 standard intake,20,-7,7,0,False,False
1,Tue,57,153,14:15,53.0,274.6,20,4,queueing,24/7 standard intake,25,5,0,0,True,False
1,Tue,58,154,14:30,54.0,307.0,22,4,queueing,24/7 standard intake,21,-1,1,0,False,False
1,Tue,59,155,14:45,54.0,333.0,24,4,queueing,24/7 standard intake,25,1,0,0,True,False
1,Tue,60,156,15:00,55.0,285.2,21,4,queueing,24/7 standard intake,21,0,0,0,True,False
1,Tue,61,157,15:15,51.0,352.5,24,4,queueing,24/7 standard intake,23,-1,1,0,False,False
1,Tue,62,158,15:30,52.0,328.1,23,4,queueing,24/7 standard intake,22,-1,1,0,False,False
1,Tue,63,159,15:45,52.0,338.6,23,4,queueing,24/7 standard intake,25,2,0,0,True,False
1,Tue,64,160,16:00,50.0,307.4,21,4,queueing,24/7 standard intake,19,-2,2,0,False,False
1,Tue,65,161,16:15,48.0,337.9,22,4,queueing,24/7 standard intake,21,-1,1,0,False,False
1,Tue,66,162,16:30,47.0,343.5,22,4,queueing,24/7 standard intake,16,-6,6,0,False,False
1,Tue,67,163,16:45,44.0,325.1,20,4,queueing,24/7 standard intake,19,-1,1,0,False,False
1,Tue,68,164,17:00,44.0,325.2,20,4,queueing,24/7 standard intake,20,0,0,0,True,False
1,Tue,69,165,17:15,42.0,325.9,19,4,queueing,24/7 standard intake,21,2,0,0,True,False
1,Tue,70,166,17:30,41.0,301.0,17,4,queueing,24/7 standard intake,14,-3,3,0,False,False
1,Tue,71,167,17:45,38.0,316.8,17,4,queueing,24/7 standard intake,19,2,0,0,True,False
1,Tue,72,168,18:00,37.0,316.6,17,4,queueing,24/7 standard intake,17,0,0,0,True,False
1,Tue,73,169,18:15,36.0,328.4,17,4,queueing,24/7 standard intake,18,1,0,0,True,False
1,Tue,74,170,18:30,33.0,342.0,16,4,queueing,24/7 standard intake,14,-2,2,0,False,False
1,Tue,75,171,18:45,32.0,296.7,14,4,queueing,24/7 standard intake,16,2,0,0,True,False
1,Tue,76,172,19:00,30.0,317.2,14,4,queueing,24/7 standard intake,13,-1,1,0,False,False
1,Tue,77,173,19:15,28.0,352.6,15,4,queueing,24/7 standard intake,17,2,0,0,True,False
1,Tue,78,174,19:30,26.0,303.6,12,4,queueing,24/7 standard intake,11,-1,1,0,False,False
1,Tue,79,175,19:45,25.0,301.9,12,4,queueing,24/7 standard intake,12,0,0,0,True,False
1,Tue,80,176,20:00,23.0,324.5,12,4,queueing,24/7 standard intake,12,0,0,0,True,False
1,Tue,81,177,20:15,24.0,338.6,13,4,queueing,24/7 standard intake,13,0,0,0,True,False
1,Tue,82,178,20:30,21.0,320.3,11,4,queueing,24/7 standard intake,11,0,0,0,True,False
1,Tue,83,179,20:45,18.0,349.2,10,4,queueing,24/7 standard intake,12,2,0,0,True,False
1,Tue,84,180,21:00,15.0,338.8,9,4,queueing,24/7 standard intake,6,-3,3,0,False,False
1,Tue,85,181,21:15,13.0,338.5,8,4,queueing,24/7 standard intake,8,0,0,0,True,False
1,Tue,86,182,21:30,14.0,332.2,8,4,queueing,24/7 standard intake,8,0,0,0,True,False
1,Tue,87,183,21:45,11.0,371.2,8,4,queueing,24/7 standard intake,8,0,0,0,True,False
1,Tue,88,184,22:00,10.0,315.5,7,4,queueing,24/7 standard intake,5,-2,2,0,False,False
1,Tue,89,185,22:15,6.0,275.9,4,4,queueing,24/7 standard intake,7,3,0,0,True,False
1,Tue,90,186,22:30,8.0,355.3,6,4,queueing,24/7 standard intake,5,-1,1,0,False,False
1,Tue,91,187,22:45,6.0,309.9,5,4,queueing,24/7 standard intake,6,1,0,0,True,False
1,Tue,92,188,23:00,3.0,322.4,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,93,189,23:15,3.0,348.8,4,4,queueing,24/7 standard intake,4,0,0,0,True,False
1,Tue,94,190,23:30,3.0,284.8,4,4,floor,24/7 standard intake,4,0,0,0,True,False
1,Tue,95,191,23:45,3.0,292.5,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,0,192,00:00,0.0,324.9,4,4,floor,24/7 standard intake,4,0,0,0,True,False
2,Wed,1,193,00:15,0.0,351.5,4,4,floor,24/7 standard intake,4,0,0,0,True,False
2,Wed,2,194,00:30,2.0,322.0,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,3,195,00:45,2.0,332.8,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,4,196,01:00,1.0,318.8,4,4,floor,24/7 standard intake,6,2,0,0,True,False
2,Wed,5,197,01:15,0.0,316.3,4,4,floor,24/7 standard intake,6,2,0,0,True,False
2,Wed,6,198,01:30,0.0,302.9,4,4,floor,24/7 standard intake,4,0,0,0,True,False
2,Wed,7,199,01:45,1.0,329.5,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,8,200,02:00,0.0,301.3,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,9,201,02:15,2.0,334.6,4,4,floor,24/7 standard intake,6,2,0,0,True,False
2,Wed,10,202,02:30,2.0,343.9,4,4,floor,24/7 standard intake,4,0,0,0,True,False
2,Wed,11,203,02:45,1.0,328.1,4,4,floor,24/7 standard intake,6,2,0,0,True,False
2,Wed,12,204,03:00,2.0,313.7,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,13,205,03:15,1.0,330.0,4,4,floor,24/7 standard intake,6,2,0,0,True,False
2,Wed,14,206,03:30,2.0,313.2,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,15,207,03:45,0.0,340.6,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,16,208,04:00,1.0,279.7,4,4,floor,24/7 standard intake,4,0,0,0,True,False
2,Wed,17,209,04:15,2.0,312.6,4,4,floor,24/7 standard intake,5,1,0,0,True,False
2,Wed,18,210,04:30,3.0,276.2,4,4,floor,24/7 standard intake,4,0,0,0,True,False
2,Wed,19,211,04:45,2.0,287.1,4,4,floor,24/7 standard intake,4,0,0,0,True,False
2,Wed,20,212,05:00,3.0,350.0,4,4,queueing,24/7 standard intake,5,1,0,0,True,False
2,Wed,21,213,05:15,3.0,339.7,4,4,queueing,24/7 standard intake,5,1,0,0,True,False
2,Wed,22,214,05:30,4.0,304.2,4,4,queueing,24/7 standard intake,6,2,0,0,True,False
2,Wed,23,215,05:45,6.0,286.9,5,4,queueing,24/7 standard intake,6,1,0,0,True,False
2,Wed,24,216,06:00,4.0,254.8,4,4,floor,24/7 standard intake,4,0,0,0,True,False
2,Wed,25,217,06:15,7.0,308.0,5,4,queueing,24/7 standard intake,5,0,0,0,True,False
2,Wed,26,218,06:30,8.0,373.2,6,4,queueing,24/7 standard intake,6,0,0,0,True,False
2,Wed,27,219,06:45,10.0,329.6,7,4,queueing,24/7 standard intake,7,0,0,0,True,False
2,Wed,28,220,07:00,14.0,307.7,8,4,queueing,24/7 standard intake,8,0,0,0,True,False
2,Wed,29,221,07:15,19.0,330.2,10,4,queueing,24/7 standard intake,10,0,0,0,True,False
2,Wed,30,222,07:30,21.0,285.7,10,4,queueing,24/7 standard intake,11,1,0,0,True,False
2,Wed,31,223,07:45,26.0,313.5,13,4,queueing,24/7 standard intake,12,-1,1,0,False,False
2,Wed,32,224,08:00,31.0,322.2,15,4,queueing,24/7 standard intake,16,1,0,0,True,False
2,Wed,33,225,08:15,35.0,318.1,16,4,queueing,24/7 standard intake,16,0,0,0,True,False
2,Wed,34,226,08:30,38.0,337.4,18,4,queueing,24/7 standard intake,18,0,0,0,True,False
2,Wed,35,227,08:45,44.0,327.6,20,4,queueing,24/7 standard intake,20,0,0,0,True,False
2,Wed,36,228,09:00,47.0,334.7,21,4,queueing,24/7 standard intake,20,-1,1,0,False,False
2,Wed,37,229,09:15,50.0,304.9,21,4,queueing,24/7 standard intake,23,2,0,0,True,False
2,Wed,38,230,09:30,54.0,339.8,24,4,queueing,24/7 standard intake,24,0,0,0,True,False
2,Wed,39,231,09:45,56.0,355.8,26,4,queueing,24/7 standard intake,26,0,0,0,True,False
2,Wed,40,232,10:00,59.0,298.7,23,4,queueing,24/7 standard intake,24,1,0,0,True,False
2,Wed,41,233,10:15,62.0,300.5,24,4,queueing,24/7 standard intake,29,5,0,0,True,False
2,Wed,42,234,10:30,65.0,349.4,29,4,queueing,24/7 standard intake,26,-3,3,0,False,False
2,Wed,43,235,10:45,67.0,315.8,27,4,queueing,24/7 standard intake,31,4,0,0,True,False
2,Wed,44,236,11:00,64.0,350.9,29,4,queueing,24/7 standard intake,26,-3,3,0,False,False
2,Wed,45,237,11:15,66.0,310.3,26,4,queueing,24/7 standard intake,31,5,0,0,True,False
2,Wed,46,238,11:30,64.0,352.0,29,4,queueing,24/7 standard intake,28,-1,1,0,False,False
2,Wed,47,239,11:45,65.0,322.9,27,4,queueing,24/7 standard intake,32,5,0,0,True,False
2,Wed,48,240,12:00,63.0,325.7,26,4,queueing,24/7 standard intake,26,0,0,0,True,False
2,Wed,49,241,12:15,59.0,354.4,27,4,queueing,24/7 standard intake,29,2,0,0,True,False
2,Wed,50,242,12:30,61.0,312.0,25,4,queueing,24/7 standard intake,24,-1,1,0,False,False
2,Wed,51,243,12:45,58.0,299.3,23,4,queueing,24/7 standard intake,28,5,0,0,True,False
2,Wed,52,244,13:00,57.0,310.1,23,4,queueing,24/7 standard intake,23,0,0,0,True,False
2,Wed,53,245,13:15,55.0,330.0,24,4,queueing,24/7 standard intake,26,2,0,0,True,False
2,Wed,54,246,13:30,55.0,285.6,21,4,queueing,24/7 standard intake,22,1,0,0,True,False
2,Wed,55,247,13:45,55.0,334.0,24,4,queueing,24/7 standard intake,25,1,0,0,True,False
2,Wed,56,248,14:00,54.0,308.1,22,4,queueing,24/7 standard intake,22,0,0,0,True,False
2,Wed,57,249,14:15,54.0,345.3,24,4,queueing,24/7 standard intake,24,0,0,0,True,False
2,Wed,58,250,14:30,53.0,267.3,19,4,queueing,24/7 standard intake,18,-1,1,0,False,False
2,Wed,59,251,14:45,54.0,302.7,22,4,queueing,24/7 standard intake,22,0,0,0,True,False
2,Wed,60,252,15:00,52.0,282.9,20,4,queueing,24/7 standard intake,20,0,0,0,True,False
2,Wed,61,253,15:15,50.0,301.8,20,4,queueing,24/7 standard intake,23,3,0,0,True,False
2,Wed,62,254,15:30,52.0,325.4,23,4,queueing,24/7 standard intake,19,-4,4,0,False,False
2,Wed,63,255,15:45,50.0,316.1,21,4,queueing,24/7 standard intake,22,1,0,0,True,False
2,Wed,64,256,16:00,50.0,314.4,21,4,queueing,24/7 standard intake,20,-1,1,0,False,False
2,Wed,65,257,16:15,48.0,316.5,21,4,queueing,24/7 standard intake,22,1,0,0,True,False
2,Wed,66,258,16:30,46.0,324.5,20,4,queueing,24/7 standard intake,18,-2,2,0,False,False
2,Wed,67,259,16:45,45.0,297.8,19,4,queueing,24/7 standard intake,20,1,0,0,True,False
2,Wed,68,260,17:00,46.0,335.6,21,4,queueing,24/7 standard intake,15,-6,6,0,False,False
2,Wed,69,261,17:15,44.0,334.6,20,4,queueing,24/7 standard intake,19,-1,1,0,False,False
2,Wed,70,262,17:30,40.0,328.5,18,4,queueing,24/7 standard intake,16,-2,2,0,False,False
2,Wed,71,263,17:45,38.0,332.2,18,4,queueing,24/7 standard intake,18,0,0,0,True,False
2,Wed,72,264,18:00,37.0,326.5,17,4,queueing,24/7 standard intake,16,-1,1,0,False,False
2,Wed,73,265,18:15,33.0,364.8,17,4,queueing,24/7 standard intake,18,1,0,0,True,False
2,Wed,74,266,18:30,33.0,318.1,15,4,queueing,24/7 standard intake,15,0,0,0,True,False
2,Wed,75,267,18:45,31.0,313.2,14,4,queueing,24/7 standard intake,17,3,0,0,True,False
2,Wed,76,268,19:00,30.0,303.4,14,4,queueing,24/7 standard intake,11,-3,3,0,False,False
2,Wed,77,269,19:15,27.0,297.3,12,4,queueing,24/7 standard intake,13,1,0,0,True,False
