day,time,required,scheduled,delta
Mon,18:45,10,36,26
Mon,19:00,8,29,21
Mon,19:15,8,29,21
Mon,19:30,7,10,3
Mon,19:45,5,20,15
Mon,20:00,5,20,15
Mon,20:15,4,20,16
Mon,20:30,4,20,16
Mon,20:45,4,20,16
Mon,21:00,4,20,16
Mon,21:15,4,22,18
Mon,21:30,4,4,0
Mon,21:45,4,12,8
Mon,22:00,4,12,8
Mon,22:15,4,12,8
Mon,22:30,4,12,8
Mon,22:45,4,12,8
Mon,23:00,4,8,4
Mon,23:15,4,10,6
Mon,23:30,4,4,0
Mon,23:45,4,4,0
Tue,00:00,4,8,4
Tue,00:15,4,8,4
Tue,00:30,4,8,4
Tue,00:45,4,8,4
Tue,01:00,4,6,2
Tue,01:15,4,6,2
Tue,01:30,4,6,2
Tue,01:45,4,8,4
Tue,02:00,4,4,0
Tue,02:15,4,8,4
Tue,02:30,4,8,4
Tue,02:45,4,8,4
Tue,03:00,4,8,4
Tue,03:15,4,8,4
Tue,03:30,4,4,0
Tue,03:45,4,6,2
Tue,04:00,4,18,14
Tue,04:15,4,18,14
Tue,04:30,4,22,18
Tue,04:45,4,22,18
Tue,05:00,4,22,18
Tue,05:15,4,22,18
Tue,05:30,4,20,16
Tue,05:45,4,20,16
Tue,06:00,4,4,0
Tue,06:15,5,20,15
Tue,06:30,7,16,9
Tue,06:45,9,20,11
Tue,07:00,10,50,40
Tue,07:15,12,50,38
Tue,07:30,15,50,35
Tue,07:45,16,50,34
Tue,08:00,19,34,15
Tue,08:15,22,34,12
Tue,08:30,26,28,2
Tue,08:45,29,46,17
Tue,09:00,33,53,20
Tue,09:15,36,65,29
Tue,09:30,38,65,27
Tue,09:45,41,65,24
Tue,10:00,44,47,3
Tue,10:15,46,47,1
Tue,10:30,48,48,0
Tue,10:45,49,65,16
Tue,11:00,48,49,1
Tue,11:15,47,67,20
Tue,11:30,45,77,32
Tue,11:45,45,77,32
Tue,12:00,43,58,15
Tue,12:15,42,76,34
Tue,12:30,41,61,20
Tue,12:45,40,61,21
Tue,13:00,40,40,0
Tue,13:15,39,54,15
Tue,13:30,38,42,4
Tue,13:45,37,52,15
Tue,14:00,37,51,14
Tue,14:15,37,52,15
Tue,14:30,37,51,14
Tue,14:45,38,52,14
Tue,15:00,36,37,1
Tue,15:15,36,47,11
Tue,15:30,34,34,0
Tue,15:45,32,50,18
Tue,16:00,31,49,18
Tue,16:15,29,49,20
Tue,16:30,29,50,21
Tue,16:45,25,50,25
Tue,17:00,24,31,7
Tue,17:15,21,40,19
Tue,17:30,19,20,1
Tue,17:45,17,34,17
Tue,18:00,15,33,18
Tue,18:15,13,34,21
Tue,18:30,11,34,23
Tue,18:45,10,34,24
Tue,19:00,8,28,20
Tue,19:15,6,28,22
Tue,19:30,5,12,7
Tue,19:45,5,22,17
Tue,20:00,5,22,17
Tue,20:15,4,22,18
Tue,20:30,4,22,18
Tue,20:45,4,22,18
Tue,21:00,4,20,16
Tue,21:15,4,23,19
Tue,21:30,4,4,0
Tue,21:45,4,13,9
Tue,22:00,4,13,9
Tue,22:15,4,13,9
Tue,22:30,4,13,9
Tue,22:45,4,13,9
Tue,23:00,4,9,5
Tue,23:15,4,10,6
Tue,23:30,4,4,0
Tue,23:45,4,4,0
Wed,00:00,4,8,4
Wed,00:15,4,8,4
Wed,00:30,4,8,4
Wed,00:45,4,8,4
Wed,01:00,4,7,3
Wed,01:15,4,7,3
Wed,01:30,4,5,1
Wed,01:45,4,8,4
Wed,02:00,4,4,0
Wed,02:15,4,8,4
Wed,02:30,4,8,4
Wed,02:45,4,8,4
Wed,03:00,4,8,4
Wed,03:15,4,8,4
Wed,03:30,4,4,0
Wed,03:45,4,5,1
Wed,04:00,4,15,11
Wed,04:15,4,15,11
Wed,04:30,4,19,15
Wed,04:45,4,19,15
Wed,05:00,4,19,15
Wed,05:15,4,19,15
Wed,05:30,4,18,14
Wed,05:45,4,18,14
Wed,06:00,4,4,0
Wed,06:15,6,18,12
Wed,06:30,6,14,8
Wed,06:45,7,18,11
Wed,07:00,9,48,39
Wed,07:15,11,48,37
Wed,07:30,14,48,34
Wed,07:45,15,48,33
Wed,08:00,19,34,15
Wed,08:15,22,34,12
Wed,08:30,26,29,3
Wed,08:45,29,44,15
Wed,09:00,31,45,14
Wed,09:15,34,60,26
Wed,09:30,36,60,24
Wed,09:45,40,60,20
Wed,10:00,42,45,3
Wed,10:15,45,45,0
Wed,10:30,45,45,0
Wed,10:45,45,60,15
Wed,11:00,44,45,1
Wed,11:15,45,60,15
Wed,11:30,44,75,31
Wed,11:45,43,75,32
Wed,12:00,41,59,18
Wed,12:15,41,74,33
Wed,12:30,39,55,16
Wed,12:45,38,61,23
Wed,13:00,39,50,11
Wed,13:15,36,59,23
Wed,13:30,36,44,8
Wed,13:45,38,59,21
Wed,14:00,38,52,14
Wed,14:15,36,53,17
Wed,14:30,36,59,23
Wed,14:45,36,59,23
Wed,15:00,36,42,6
Wed,15:15,34,55,21
Wed,15:30,33,33,0
Wed,15:45,32,48,16
Wed,16:00,31,42,11
Wed,16:15,28,48,20
Wed,16:30,27,48,21
Wed,16:45,24,48,24
Wed,17:00,22,31,9
Wed,17:15,20,36,16
Wed,17:30,19,19,0
Wed,17:45,16,28,12
Wed,18:00,15,28,13
Wed,18:15,13,28,15
Wed,18:30,11,28,17
Wed,18:45,10,28,18
Wed,19:00,8,24,16
Wed,19:15,7,25,18
Wed,19:30,5,7,2
Wed,19:45,5,20,15
Wed,20:00,4,20,16
Wed,20:15,5,20,15
Wed,20:30,4,20,16
Wed,20:45,4,20,16
Wed,21:00,4,19,15
Wed,21:15,4,21,17
Wed,21:30,4,5,1
Wed,21:45,4,9,5
Wed,22:00,4,9,5
Wed,22:15,4,9,5
Wed,22:30,4,9,5
Wed,22:45,4,9,5
Wed,23:00,4,5,1
Wed,23:15,4,7,3
Wed,23:30,4,4,0
Wed,23:45,4,5,1
Thu,00:00,4,9,5
Thu,00:15,4,9,5
Thu,00:30,4,9,5
Thu,00:45,4,9,5
Thu,01:00,4,7,3
Thu,01:15,4,7,3
Thu,01:30,4,6,2
Thu,01:45,4,8,4
Thu,02:00,4,4,0
Thu,02:15,4,8,4
Thu,02:30,4,8,4
Thu,02:45,4,8,4
Thu,03:00,4,8,4
Thu,03:15,4,8,4
Thu,03:30,4,4,0
Thu,03:45,4,6,2
Thu,04:00,4,17,13
Thu,04:15,4,17,13
Thu,04:30,4,21,17
Thu,04:45,4,21,17
Thu,05:00,4,21,17
Thu,05:15,4,21,17
Thu,05:30,4,18,14
Thu,05:45,4,19,15
Thu,06:00,5,5,0
Thu,06:15,5,19,14
Thu,06:30,7,15,8
Thu,06:45,7,19,12
Thu,07:00,9,48,39
Thu,07:15,10,48,38
Thu,07:30,14,49,35
Thu,07:45,15,49,34
Thu,08:00,19,35,16
Thu,08:15,21,35,14
Thu,08:30,25,28,3
Thu,08:45,28,45,17
Thu,09:00,32,46,14
Thu,09:15,34,60,26
Thu,09:30,36,60,24
Thu,09:45,39,60,21
Thu,10:00,41,43,2
Thu,10:15,43,43,0
Thu,10:30,45,45,0
Thu,10:45,45,59,14
Thu,11:00,44,46,2
Thu,11:15,44,61,17
Thu,11:30,44,72,28
Thu,11:45,41,72,31
Thu,12:00,41,55,14
Thu,12:15,40,72,32
Thu,12:30,39,58,19
Thu,12:45,38,58,20
Thu,13:00,36,38,2
Thu,13:15,36,53,17
Thu,13:30,36,40,4
Thu,13:45,36,51,15
Thu,14:00,36,51,15
Thu,14:15,34,51,17
Thu,14:30,35,51,16
Thu,14:45,35,51,16
Thu,15:00,33,34,1
Thu,15:15,34,44,10
Thu,15:30,33,33,0
Thu,15:45,32,48,16
Thu,16:00,29,48,19
Thu,16:15,29,48,19
Thu,16:30,27,47,20
Thu,16:45,24,48,24
Thu,17:00,22,31,9
Thu,17:15,20,38,18
Thu,17:30,18,18,0
Thu,17:45,16,33,17
Thu,18:00,14,32,18
Thu,18:15,13,32,19
Thu,18:30,11,33,22
Thu,18:45,8,33,25
Thu,19:00,8,27,19
Thu,19:15,8,27,19
Thu,19:30,5,9,4
Thu,19:45,4,19,15
Thu,20:00,4,18,14
Thu,20:15,4,19,15
Thu,20:30,4,19,15
Thu,20:45,4,19,15
Thu,21:00,4,21,17
Thu,21:15,4,22,18
Thu,21:30,4,4,0
Thu,21:45,5,11,6
Thu,22:00,4,11,7
Thu,22:15,4,11,7
Thu,22:30,4,11,7
Thu,22:45,4,11,7
Thu,23:00,4,7,3
Thu,23:15,4,10,6
Thu,23:30,4,4,0
Thu,23:45,4,4,0
Fri,00:00,4,8,4
Fri,00:15,4,8,4
Fri,00:30,4,8,4
Fri,00:45,4,8,4
Fri,01:00,4,5,1
Fri,01:15,4,5,1
Fri,01:30,4,7,3
Fri,01:45,4,8,4
Fri,02:00,4,4,0
Fri,02:15,4,8,4
Fri,02:30,4,8,4
Fri,02:45,4,8,4
Fri,03:00,4,8,4
Fri,03:15,4,8,4
Fri,03:30,4,4,0
Fri,03:45,4,7,3
Fri,04:00,4,18,14
Fri,04:15,4,18,14
Fri,04:30,4,22,18
Fri,04:45,4,22,18
Fri,05:00,4,22,18
Fri,05:15,4,22,18
Fri,05:30,4,19,15
Fri,05:45,4,19,15
Fri,06:00,4,4,0
Fri,06:15,4,19,15
Fri,06:30,5,15,10
Fri,06:45,6,19,13
Fri,07:00,9,48,39
Fri,07:15,12,48,36
Fri,07:30,13,48,35
Fri,07:45,17,48,31
Fri,08:00,20,33,13
Fri,08:15,23,33,10
Fri,08:30,26,28,2
Fri,08:45,29,44,15
Fri,09:00,32,50,18
Fri,09:15,35,63,28
Fri,09:30,38,63,25
Fri,09:45,40,63,23
Fri,10:00,43,47,4
Fri,10:15,45,47,2
Fri,10:30,47,47,0
Fri,10:45,47,63,16
Fri,11:00,46,46,0
Fri,11:15,46,64,18
Fri,11:30,44,76,32
Fri,11:45,44,76,32
Fri,12:00,43,59,16
Fri,12:15,41,75,34
Fri,12:30,41,60,19
Fri,12:45,39,61,22
Fri,13:00,38,38,0
Fri,13:15,37,51,14
Fri,13:30,37,38,1
Fri,13:45,38,50,12
Fri,14:00,37,48,11
Fri,14:15,37,49,12
Fri,14:30,37,50,13
Fri,14:45,37,50,13
Fri,15:00,35,41,6
Fri,15:15,34,49,15
Fri,15:30,34,34,0
Fri,15:45,32,49,17
Fri,16:00,31,48,17
Fri,16:15,29,49,20
Fri,16:30,27,48,21
Fri,16:45,25,49,24
Fri,17:00,24,31,7
Fri,17:15,22,42,20
Fri,17:30,19,21,2
Fri,17:45,17,34,17
Fri,18:00,15,33,18
Fri,18:15,12,33,21
Fri,18:30,11,34,23
Fri,18:45,10,34,24
Fri,19:00,8,24,16
Fri,19:15,6,25,19
Fri,19:30,5,15,10
Fri,19:45,4,23,19
Fri,20:00,4,22,18
Fri,20:15,4,23,19
Fri,20:30,4,23,19
Fri,20:45,4,23,19
Fri,21:00,4,22,18
Fri,21:15,4,24,20
Fri,21:30,4,5,1
Fri,21:45,4,16,12
Fri,22:00,4,16,12
Fri,22:15,4,16,12
Fri,22:30,4,16,12
Fri,22:45,4,16,12
Fri,23:00,4,12,8
Fri,23:15,4,14,10
Fri,23:30,4,4,0
Fri,23:45,5,5,0
Sat,00:00,4,9,5
Sat,00:15,4,9,5
Sat,00:30,4,9,5
Sat,00:45,4,9,5
Sat,01:00,4,7,3
Sat,01:15,4,7,3
Sat,01:30,4,6,2
Sat,01:45,4,8,4
Sat,02:00,4,4,0
Sat,02:15,4,8,4
Sat,02:30,4,8,4
Sat,02:45,4,8,4
Sat,03:00,4,8,4
Sat,03:15,4,8,4
Sat,03:30,4,4,0
Sat,03:45,4,6,2
Sat,04:00,4,12,8
Sat,04:15,4,12,8
Sat,04:30,4,16,12
Sat,04:45,4,16,12
Sat,05:00,4,16,12
Sat,05:15,4,16,12
Sat,05:30,4,14,10
Sat,05:45,4,14,10
Sat,06:00,4,4,0
Sat,06:15,4,14,10
Sat,06:30,7,10,3
Sat,06:45,7,14,7
Sat,07:00,8,38,30
Sat,07:15,10,38,28
Sat,07:30,10,38,28
Sat,07:45,13,38,25
Sat,08:00,16,28,12
Sat,08:15,18,28,10
Sat,08:30,21,21,0
Sat,08:45,23,34,11
Sat,09:00,26,37,11
Sat,09:15,28,48,20
Sat,09:30,31,48,17
Sat,09:45,33,48,15
Sat,10:00,33,35,2
Sat,10:15,35,35,0
Sat,10:30,37,38,1
Sat,10:45,36,48,12
Sat,11:00,37,37,0
Sat,11:15,36,51,15
Sat,11:30,36,60,24
Sat,11:45,34,60,26
Sat,12:00,34,47,13
Sat,12:15,34,60,26
Sat,12:30,32,49,17
Sat,12:45,31,50,19
Sat,13:00,30,31,1
Sat,13:15,31,44,13
Sat,13:30,29,34,5
Sat,13:45,30,43,13
Sat,14:00,29,42,13
Sat,14:15,30,42,12
Sat,14:30,28,42,14
Sat,14:45,29,43,14
Sat,15:00,27,30,3
Sat,15:15,27,37,10
Sat,15:30,27,29,2
Sat,15:45,26,41,15
Sat,16:00,25,39,14
Sat,16:15,23,40,17
Sat,16:30,22,41,19
Sat,16:45,20,41,21
Sat,17:00,19,27,8
Sat,17:15,17,34,17
Sat,17:30,15,15,0
Sat,17:45,14,28,14
Sat,18:00,12,27,15
Sat,18:15,12,28,16
Sat,18:30,9,28,19
Sat,18:45,8,28,20
Sat,19:00,6,23,17
Sat,19:15,5,23,18
Sat,19:30,4,9,5
Sat,19:45,4,16,12
Sat,20:00,4,16,12
Sat,20:15,4,16,12
Sat,20:30,4,16,12
Sat,20:45,4,16,12
Sat,21:00,4,16,12
Sat,21:15,4,18,14
Sat,21:30,4,4,0
Sat,21:45,4,11,7
Sat,22:00,4,11,7
Sat,22:15,4,11,7
Sat,22:30,4,11,7
Sat,22:45,4,11,7
Sat,23:00,4,7,3
Sat,23:15,4,9,5
Sat,23:30,4,4,0
Sat,23:45,4,4,0
Sun,00:00,4,9,5
Sun,00:15,4,9,5
Sun,00:30,4,9,5
Sun,00:45,4,9,5
Sun,01:00,4,7,3
Sun,01:15,4,7,3
Sun,01:30,4,7,3
Sun,01:45,4,9,5
Sun,02:00,4,4,0
Sun,02:15,4,9,5
Sun,02:30,4,9,5
Sun,02:45,4,9,5
Sun,03:00,4,9,5
Sun,03:15,4,9,5
Sun,03:30,4,5,1
Sun,03:45,4,7,3
Sun,04:00,4,14,10
Sun,04:15,4,14,10
Sun,04:30,4,19,15
Sun,04:45,4,19,15
Sun,05:00,4,19,15
Sun,05:15,4,19,15
Sun,05:30,4,17,13
Sun,05:45,4,17,13
Sun,06:00,4,5,1
Sun,06:15,4,17,13
Sun,06:30,6,12,6
Sun,06:45,5,17,12
Sun,07:00,7,35,28
Sun,07:15,9,35,26
Sun,07:30,11,35,24
Sun,07:45,13,35,22
Sun,08:00,13,23,10
Sun,08:15,17,23,6
Sun,08:30,18,21,3
Sun,08:45,21,30,9
Sun,09:00,22,35,13
Sun,09:15,26,44,18
Sun,09:30,27,44,17
Sun,09:45,29,44,15
Sun,10:00,31,35,4
Sun,10:15,32,35,3
Sun,10:30,32,32,0
Sun,10:45,34,44,10
Sun,11:00,32,32,0
Sun,11:15,32,46,14
Sun,11:30,32,54,22
Sun,11:45,31,54,23
Sun,12:00,31,45,14
Sun,12:15,29,54,25
Sun,12:30,29,42,13
Sun,12:45,29,42,13
Sun,13:00,27,27,0
Sun,13:15,26,38,12
Sun,13:30,28,34,6
Sun,13:45,28,42,14
Sun,14:00,27,42,15
Sun,14:15,26,42,16
Sun,14:30,26,41,15
Sun,14:45,26,42,16
Sun,15:00,26,26,0
Sun,15:15,25,35,10
Sun,15:30,25,25,0
Sun,15:45,24,38,14
Sun,16:00,22,37,15
Sun,16:15,22,37,15
Sun,16:30,21,38,17
Sun,16:45,19,38,19
Sun,17:00,17,25,8
Sun,17:15,15,29,14
Sun,17:30,14,14,0
Sun,17:45,11,25,14
Sun,18:00,11,24,13
Sun,18:15,9,25,16
Sun,18:30,10,25,15
Sun,18:45,7,25,18
Sun,19:00,7,22,15
Sun,19:15,5,22,17
Sun,19:30,5,5,0
Sun,19:45,4,14,10
Sun,20:00,4,14,10
Sun,20:15,4,14,10
Sun,20:30,4,14,10
Sun,20:45,4,14,10
Sun,21:00,4,16,12
Sun,21:15,4,17,13
Sun,21:30,4,4,0
Sun,21:45,4,8,4
Sun,22:00,4,8,4
Sun,22:15,4,8,4
Sun,22:30,4,8,4
Sun,22:45,4,8,4
Sun,23:00,4,4,0
Sun,23:15,4,7,3
Sun,23:30,4,4,0
Sun,23:45,4,4,0
