day,day_name,interval,time,required,scheduled,delta
3,Thu,18,11:30,37,37,0
3,Thu,19,11:45,34,47,13
3,Thu,20,12:00,28,31,3
3,Thu,21,12:15,26,36,10
3,Thu,22,12:30,28,32,4
3,Thu,23,12:45,23,37,14
3,Thu,24,13:00,25,31,6
3,Thu,25,13:15,25,31,6
3,Thu,26,13:30,30,31,1
3,Thu,27,13:45,29,33,4
3,Thu,28,14:00,34,34,0
3,Thu,29,14:15,35,39,4
3,Thu,30,14:30,37,37,0
3,Thu,31,14:45,36,40,4
3,Thu,32,15:00,38,37,-1
3,Thu,33,15:15,33,44,11
3,Thu,34,15:30,27,27,0
3,Thu,35,15:45,33,37,4
3,Thu,36,16:00,29,29,0
3,Thu,37,16:15,26,36,10
3,Thu,38,16:30,24,25,1
3,Thu,39,16:45,17,31,14
3,Thu,40,17:00,16,21,5
3,Thu,41,17:15,12,25,13
3,Thu,42,17:30,12,17,5
3,Thu,43,17:45,11,17,6
3,Thu,44,18:00,10,10,0
3,Thu,45,18:15,8,10,2
3,Thu,46,18:30,3,4,1
3,Thu,47,18:45,4,4,0
3,Thu,48,19:00,4,0,-4
4,Fri,0,07:00,3,5,2
4,Fri,1,07:15,5,5,0
4,Fri,2,07:30,7,11,4
4,Fri,3,07:45,8,11,3
4,Fri,4,08:00,10,16,6
4,Fri,5,08:15,15,16,1
4,Fri,6,08:30,17,21,4
4,Fri,7,08:45,21,21,0
4,Fri,8,09:00,25,26,1
4,Fri,9,09:15,28,31,3
4,Fri,10,09:30,33,34,1
4,Fri,11,09:45,39,40,1
4,Fri,12,10:00,44,43,-1
4,Fri,13,10:15,39,48,9
4,Fri,14,10:30,39,39,0
4,Fri,15,10:45,42,48,6
4,Fri,16,11:00,33,33,0
4,Fri,17,11:15,34,44,10
4,Fri,18,11:30,30,30,0
4,Fri,19,11:45,27,38,11
4,Fri,20,12:00,24,25,1
4,Fri,21,12:15,22,29,7
4,Fri,22,12:30,20,22,2
4,Fri,23,12:45,21,23,2
4,Fri,24,13:00,23,23,0
4,Fri,25,13:15,24,23,-1
4,Fri,26,13:30,28,29,1
4,Fri,27,13:45,29,29,0
4,Fri,28,14:00,26,26,0
4,Fri,29,14:15,29,30,1
4,Fri,30,14:30,29,29,0
4,Fri,31,14:45,28,34,6
4,Fri,32,15:00,30,30,0
4,Fri,33,15:15,31,39,8
4,Fri,34,15:30,29,29,0
4,Fri,35,15:45,31,35,4
4,Fri,36,16:00,23,23,0
4,Fri,37,16:15,24,30,6
4,Fri,38,16:30,23,23,0
4,Fri,39,16:45,19,26,7
4,Fri,40,17:00,17,16,-1
4,Fri,41,17:15,12,21,9
4,Fri,42,17:30,13,14,1
4,Fri,43,17:45,9,14,5
4,Fri,44,18:00,7,8,1
4,Fri,45,18:15,5,8,3
4,Fri,46,18:30,5,5,0
4,Fri,47,18:45,4,5,1
4,Fri,48,19:00,4,0,-4
