agent,day,shift,start,end,paid_hours,on_phone_intervals
AGT-008,Wed,FT8_0930,09:30,18:00,8.0,30
AGT-008,Thu,FT8_0930,09:30,18:00,8.0,30
AGT-008,Fri,PT6_0930,09:30,16:00,6.0,22
AGT-009,Mon,PT6_0700,07:00,13:30,6.0,22
AGT-009,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-009,Wed,PT6_1000,10:00,16:30,6.0,22
AGT-009,Thu,PT6_0900,09:00,15:30,6.0,22
AGT-009,Fri,FT8_0930,09:30,18:00,8.0,30
AGT-010,Mon,FT8_1000,10:00,18:30,8.0,30
AGT-010,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-010,Wed,PT4_1330,13:30,17:30,4.0,15
AGT-010,Thu,FT8_1030,10:30,19:00,8.0,30
AGT-010,Fri,PT4_0730,07:30,11:30,4.0,15
AGT-011,Mon,FT8_0900,09:00,17:30,8.0,30
AGT-011,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-011,Wed,PT4_1500,15:00,19:00,4.0,15
AGT-011,Thu,FT8_1000,10:00,18:30,8.0,30
AGT-011,Fri,PT4_0730,07:30,11:30,4.0,15
AGT-012,Mon,FT8_0930,09:30,18:00,8.0,30
AGT-012,Tue,FT8_0830,08:30,17:00,8.0,30
AGT-012,Wed,PT6_1000,10:00,16:30,6.0,22
AGT-012,Thu,FT8_0830,08:30,17:00,8.0,30
AGT-012,Fri,PT6_0930,09:30,16:00,6.0,22
AGT-013,Mon,FT8_0930,09:30,18:00,8.0,30
AGT-013,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-013,Wed,FT8_0700,07:00,15:30,8.0,30
AGT-013,Thu,FT8_0830,08:30,17:00,8.0,30
AGT-013,Fri,FT8_0830,08:30,17:00,8.0,30
AGT-014,Mon,FT8_0900,09:00,17:30,8.0,30
AGT-014,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-014,Wed,PT6_0900,09:00,15:30,6.0,22
AGT-014,Thu,FT8_0900,09:00,17:30,8.0,30
AGT-014,Fri,FT8_0900,09:00,17:30,8.0,30
AGT-015,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-015,Tue,PT4_1500,15:00,19:00,4.0,15
AGT-015,Wed,FT8_0830,08:30,17:00,8.0,30
AGT-015,Thu,PT6_0900,09:00,15:30,6.0,22
AGT-015,Fri,PT6_0900,09:00,15:30,6.0,22
AGT-016,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-016,Tue,FT8_0730,07:30,16:00,8.0,30
AGT-016,Wed,PT6_0930,09:30,16:00,6.0,22
AGT-016,Thu,FT8_0900,09:00,17:30,8.0,30
AGT-016,Fri,FT8_0900,09:00,17:30,8.0,30
AGT-017,Mon,FT8_1030,10:30,19:00,8.0,30
AGT-017,Tue,FT8_0700,07:00,15:30,8.0,30
AGT-017,Wed,PT4_0700,07:00,11:00,4.0,15
AGT-017,Thu,PT4_0730,07:30,11:30,4.0,15
AGT-017,Fri,FT8_0900,09:00,17:30,8.0,30
AGT-018,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-018,Tue,FT8_0830,08:30,17:00,8.0,30
AGT-018,Wed,FT8_0830,08:30,17:00,8.0,30
AGT-018,Thu,FT8_0930,09:30,18:00,8.0,30
AGT-018,Fri,PT4_0730,07:30,11:30,4.0,15
AGT-019,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-019,Tue,FT8_0830,08:30,17:00,8.0,30
AGT-019,Wed,FT8_0700,07:00,15:30,8.0,30
AGT-019,Thu,PT4_0830,08:30,12:30,4.0,15
AGT-019,Fri,PT6_0900,09:00,15:30,6.0,22
AGT-020,Mon,FT8_0900,09:00,17:30,8.0,30
AGT-020,Tue,FT8_0900,09:00,17:30,8.0,30
AGT-020,Wed,FT8_1030,10:30,19:00,8.0,30
AGT-020,Thu,FT8_0830,08:30,17:00,8.0,30
AGT-020,Fri,FT8_0900,09:00,17:30,8.0,30
AGT-021,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-021,Tue,PT6_0700,07:00,13:30,6.0,22
AGT-021,Wed,PT6_1000,10:00,16:30,6.0,22
AGT-021,Thu,FT8_0700,07:00,15:30,8.0,30
AGT-021,Fri,PT4_1400,14:00,18:00,4.0,15
AGT-022,Mon,PT4_0700,07:00,11:00,4.0,15
AGT-022,Tue,FT8_1000,10:00,18:30,8.0,30
AGT-022,Wed,FT8_0700,07:00,15:30,8.0,30
AGT-022,Thu,PT4_1430,14:30,18:30,4.0,15
AGT-022,Fri,FT8_1000,10:00,18:30,8.0,30
AGT-023,Mon,FT8_0900,09:00,17:30,8.0,30
AGT-023,Tue,FT8_0800,08:00,16:30,8.0,30
AGT-023,Wed,FT8_0830,08:30,17:00,8.0,30
AGT-023,Thu,FT8_0900,09:00,17:30,8.0,30
AGT-024,Mon,FT8_1000,10:00,18:30,8.0,30
AGT-024,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-024,Wed,FT8_0930,09:30,18:00,8.0,30
AGT-024,Thu,FT8_0800,08:00,16:30,8.0,30
AGT-024,Fri,PT4_0730,07:30,11:30,4.0,15
AGT-025,Mon,FT8_1000,10:00,18:30,8.0,30
AGT-025,Tue,FT8_0900,09:00,17:30,8.0,30
AGT-025,Wed,PT6_0930,09:30,16:00,6.0,22
AGT-025,Thu,FT8_0930,09:30,18:00,8.0,30
AGT-025,Fri,PT6_0930,09:30,16:00,6.0,22
AGT-026,Mon,FT8_0900,09:00,17:30,8.0,30
AGT-026,Tue,FT8_0800,08:00,16:30,8.0,30
AGT-026,Wed,PT6_1000,10:00,16:30,6.0,22
AGT-026,Thu,FT8_0900,09:00,17:30,8.0,30
AGT-026,Fri,PT4_0700,07:00,11:00,4.0,15
AGT-027,Mon,FT8_0930,09:30,18:00,8.0,30
AGT-027,Tue,FT8_0900,09:00,17:30,8.0,30
AGT-027,Wed,PT6_0930,09:30,16:00,6.0,22
AGT-027,Thu,FT8_0930,09:30,18:00,8.0,30
AGT-027,Fri,PT4_1000,10:00,14:00,4.0,15
AGT-028,Mon,FT8_0900,09:00,17:30,8.0,30
AGT-028,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-028,Wed,PT6_1000,10:00,16:30,6.0,22
AGT-028,Thu,PT4_0730,07:30,11:30,4.0,15
AGT-028,Fri,FT8_0930,09:30,18:00,8.0,30
AGT-029,Mon,FT8_0900,09:00,17:30,8.0,30
AGT-029,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-029,Wed,FT8_0930,09:30,18:00,8.0,30
AGT-029,Thu,FT8_0800,08:00,16:30,8.0,30
AGT-029,Fri,FT8_0830,08:30,17:00,8.0,30
AGT-030,Mon,FT8_0800,08:00,16:30,8.0,30
AGT-030,Tue,PT6_0700,07:00,13:30,6.0,22
AGT-030,Wed,FT8_0700,07:00,15:30,8.0,30
AGT-030,Thu,FT8_0700,07:00,15:30,8.0,30
AGT-030,Fri,PT6_1000,10:00,16:30,6.0,22
AGT-031,Mon,FT8_0900,09:00,17:30,8.0,30
AGT-031,Tue,PT6_0700,07:00,13:30,6.0,22
AGT-031,Wed,FT8_1000,10:00,18:30,8.0,30
AGT-031,Thu,FT8_0930,09:30,18:00,8.0,30
AGT-031,Fri,PT4_0700,07:00,11:00,4.0,15
AGT-032,Mon,FT8_0730,07:30,16:00,8.0,30
AGT-032,Tue,FT8_0900,09:00,17:30,8.0,30
AGT-032,Wed,FT8_0930,09:30,18:00,8.0,30
AGT-032,Thu,FT8_0900,09:00,17:30,8.0,30
AGT-032,Fri,FT8_0830,08:30,17:00,8.0,30
AGT-033,Mon,FT8_0800,08:00,16:30,8.0,30
AGT-033,Tue,FT8_0900,09:00,17:30,8.0,30
AGT-033,Wed,FT8_0800,08:00,16:30,8.0,30
AGT-033,Thu,PT4_0730,07:30,11:30,4.0,15
AGT-033,Fri,FT8_0900,09:00,17:30,8.0,30
AGT-034,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-034,Tue,FT8_0900,09:00,17:30,8.0,30
AGT-034,Wed,FT8_1000,10:00,18:30,8.0,30
AGT-034,Thu,FT8_0930,09:30,18:00,8.0,30
AGT-034,Fri,FT8_0830,08:30,17:00,8.0,30
AGT-035,Mon,FT8_0730,07:30,16:00,8.0,30
AGT-035,Tue,FT8_1000,10:00,18:30,8.0,30
AGT-035,Wed,PT4_1500,15:00,19:00,4.0,15
AGT-035,Thu,FT8_0930,09:30,18:00,8.0,30
AGT-035,Fri,FT8_0930,09:30,18:00,8.0,30
AGT-036,Mon,PT6_0700,07:00,13:30,6.0,22
AGT-036,Tue,PT6_0900,09:00,15:30,6.0,22
AGT-036,Wed,FT8_0930,09:30,18:00,8.0,30
AGT-036,Thu,FT8_1030,10:30,19:00,8.0,30
AGT-036,Fri,PT4_0700,07:00,11:00,4.0,15
AGT-037,Mon,FT8_0700,07:00,15:30,8.0,30
AGT-037,Tue,PT6_1000,10:00,16:30,6.0,22
AGT-037,Wed,PT6_0900,09:00,15:30,6.0,22
AGT-037,Thu,FT8_0900,09:00,17:30,8.0,30
AGT-037,Fri,PT6_1000,10:00,16:30,6.0,22
AGT-038,Mon,FT8_0930,09:30,18:00,8.0,30
AGT-038,Tue,FT8_0730,07:30,16:00,8.0,30
AGT-038,Wed,FT8_0930,09:30,18:00,8.0,30
AGT-038,Thu,FT8_0830,08:30,17:00,8.0,30
AGT-038,Fri,PT4_0730,07:30,11:30,4.0,15
AGT-039,Mon,FT8_1000,10:00,18:30,8.0,30
AGT-039,Tue,FT8_0800,08:00,16:30,8.0,30
AGT-039,Wed,FT8_1000,10:00,18:30,8.0,30
AGT-039,Thu,FT8_1030,10:30,19:00,8.0,30
AGT-039,Fri,PT4_1400,14:00,18:00,4.0,15
AGT-040,Mon,FT8_1030,10:30,19:00,8.0,30
AGT-040,Tue,FT8_0830,08:30,17:00,8.0,30
AGT-040,Wed,FT8_0900,09:00,17:30,8.0,30
AGT-040,Thu,FT8_1000,10:00,18:30,8.0,30
AGT-040,Fri,PT4_1500,15:00,19:00,4.0,15
AGT-041,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-041,Tue,FT8_0900,09:00,17:30,8.0,30
AGT-041,Wed,FT8_1000,10:00,18:30,8.0,30
AGT-041,Thu,PT4_1030,10:30,14:30,4.0,15
AGT-041,Fri,FT8_0900,09:00,17:30,8.0,30
AGT-042,Mon,PT4_1500,15:00,19:00,4.0,15
AGT-042,Tue,FT8_0700,07:00,15:30,8.0,30
AGT-042,Wed,FT8_0830,08:30,17:00,8.0,30
AGT-042,Thu,PT4_1430,14:30,18:30,4.0,15
AGT-042,Fri,FT8_1000,10:00,18:30,8.0,30
AGT-043,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-043,Tue,PT6_1000,10:00,16:30,6.0,22
AGT-043,Wed,PT4_1330,13:30,17:30,4.0,15
AGT-043,Thu,PT6_1000,10:00,16:30,6.0,22
AGT-043,Fri,FT8_0930,09:30,18:00,8.0,30
AGT-044,Mon,FT8_0800,08:00,16:30,8.0,30
AGT-044,Tue,FT8_0830,08:30,17:00,8.0,30
AGT-044,Wed,FT8_0830,08:30,17:00,8.0,30
AGT-044,Thu,PT4_0700,07:00,11:00,4.0,15
AGT-044,Fri,PT4_1500,15:00,19:00,4.0,15
AGT-045,Mon,FT8_0930,09:30,18:00,8.0,30
AGT-045,Tue,FT8_1030,10:30,19:00,8.0,30
AGT-045,Wed,FT8_0830,08:30,17:00,8.0,30
AGT-045,Thu,PT6_1030,10:30,17:00,6.0,22
AGT-045,Fri,PT6_0930,09:30,16:00,6.0,22
AGT-046,Mon,PT6_1000,10:00,16:30,6.0,22
AGT-046,Tue,PT4_0800,08:00,12:00,4.0,15
AGT-046,Wed,PT4_0800,08:00,12:00,4.0,15
AGT-046,Thu,PT4_0800,08:00,12:00,4.0,15
AGT-047,Mon,PT4_0800,08:00,12:00,4.0,15
AGT-047,Tue,PT4_0700,07:00,11:00,4.0,15
AGT-047,Wed,PT4_0800,08:00,12:00,4.0,15
AGT-047,Thu,PT4_0800,08:00,12:00,4.0,15
AGT-047,Fri,PT4_0730,07:30,11:30,4.0,15
AGT-048,Mon,PT6_0900,09:00,15:30,6.0,22
AGT-048,Tue,PT6_1000,10:00,16:30,6.0,22
AGT-048,Wed,PT4_0800,08:00,12:00,4.0,15
AGT-048,Thu,PT4_0800,08:00,12:00,4.0,15
AGT-049,Mon,PT6_1000,10:00,16:30,6.0,22
AGT-049,Tue,PT6_1000,10:00,16:30,6.0,22
AGT-049,Thu,PT6_1000,10:00,16:30,6.0,22
AGT-050,Mon,PT4_0700,07:00,11:00,4.0,15
AGT-050,Tue,PT6_0900,09:00,15:30,6.0,22
AGT-050,Wed,PT4_0800,08:00,12:00,4.0,15
AGT-050,Thu,PT6_0900,09:00,15:30,6.0,22
AGT-050,Fri,PT4_0800,08:00,12:00,4.0,15
AGT-051,Mon,PT6_0900,09:00,15:30,6.0,22
AGT-051,Tue,PT4_0730,07:30,11:30,4.0,15
AGT-051,Wed,PT4_0800,08:00,12:00,4.0,15
AGT-051,Thu,PT6_0930,09:30,16:00,6.0,22
AGT-051,Fri,PT4_0700,07:00,11:00,4.0,15
AGT-052,Mon,PT6_0930,09:30,16:00,6.0,22
AGT-052,Tue,PT6_0900,09:00,15:30,6.0,22
AGT-052,Wed,PT4_0800,08:00,12:00,4.0,15
AGT-052,Thu,PT4_0700,07:00,11:00,4.0,15
AGT-052,Fri,PT4_0800,08:00,12:00,4.0,15
AGT-053,Mon,PT4_0730,07:30,11:30,4.0,15
AGT-053,Tue,PT4_1500,15:00,19:00,4.0,15
AGT-053,Wed,PT4_0730,07:30,11:30,4.0,15
AGT-053,Thu,PT4_0730,07:30,11:30,4.0,15
AGT-053,Fri,PT4_0700,07:00,11:00,4.0,15
AGT-054,Mon,PT6_0930,09:30,16:00,6.0,22
AGT-054,Tue,PT4_0730,07:30,11:30,4.0,15
AGT-054,Wed,PT4_0730,07:30,11:30,4.0,15
AGT-054,Thu,PT6_0900,09:00,15:30,6.0,22
AGT-054,Fri,PT4_0800,08:00,12:00,4.0,15
AGT-055,Mon,PT4_0730,07:30,11:30,4.0,15
AGT-055,Tue,PT4_0830,08:30,12:30,4.0,15
AGT-055,Wed,PT4_0800,08:00,12:00,4.0,15
AGT-055,Thu,PT4_0700,07:00,11:00,4.0,15
AGT-055,Fri,PT4_1500,15:00,19:00,4.0,15
AGT-056,Mon,PT6_1000,10:00,16:30,6.0,22
AGT-056,Tue,PT4_1500,15:00,19:00,4.0,15
AGT-056,Wed,PT4_1500,15:00,19:00,4.0,15
AGT-056,Thu,PT6_1000,10:00,16:30,6.0,22
AGT-056,Fri,PT4_1500,15:00,19:00,4.0,15
AGT-057,Mon,PT6_0900,09:00,15:30,6.0,22
AGT-057,Tue,PT6_0930,09:30,16:00,6.0,22
AGT-057,Wed,PT4_0800,08:00,12:00,4.0,15
AGT-057,Thu,PT4_0800,08:00,12:00,4.0,15
AGT-057,Fri,PT4_0800,08:00,12:00,4.0,15
AGT-058,Mon,PT6_0900,09:00,15:30,6.0,22
AGT-058,Tue,PT4_0800,08:00,12:00,4.0,15
AGT-058,Wed,PT4_0730,07:30,11:30,4.0,15
AGT-058,Fri,PT6_0900,09:00,15:30,6.0,22
AGT-059,Mon,PT4_0800,08:00,12:00,4.0,15
AGT-059,Tue,PT4_0800,08:00,12:00,4.0,15
AGT-059,Wed,PT4_1330,13:30,17:30,4.0,15
AGT-059,Thu,PT4_0700,07:00,11:00,4.0,15
AGT-059,Fri,PT4_0800,08:00,12:00,4.0,15
AGT-060,Mon,PT4_0730,07:30,11:30,4.0,15
AGT-060,Tue,PT4_0700,07:00,11:00,4.0,15
AGT-060,Wed,PT4_0730,07:30,11:30,4.0,15
AGT-060,Thu,PT4_0730,07:30,11:30,4.0,15
AGT-060,Fri,PT4_1500,15:00,19:00,4.0,15
